key,screen,english,translation,review,verified,status
adminReportDetailStatusChangeNoteHint,Admin Report Detail,Add a note about this status change…,Magdugang og nota bahin sa kini nga pagbag-o sa estado…,,,approved
adminReportDetailStatusHistory,Admin Report Detail,Status History,Kasaysayan sa Estado,,,approved
adminReportDetailSubmittedDate,Admin Report Detail,Submitted {date},Gisumite {date},,,approved
adminReportDetailTitle,Admin Report Detail,Report Detail,Detalye sa Report,,,approved
adminReportDetailUnassigned,Admin Report Detail,Unassigned,Walay nakatalaga,,,approved
adminReportDetailUpdateStatus,Admin Report Detail,Update Status,I-update ang Kahimtang,,,approved
adminReportDetailUpdateStatusFailed,Admin Report Detail,Failed to update status: {error},Nakapakyas sa pag-update sa estado: {error},,,approved
appName,Splash,SpeakUp,SpeakUp,,,approved
assignRoleAssignedDate,Assign Role,Assigned {date},Gipahimutang {date},,,approved
assignRoleAssigning,Assign Role,Assigning…,Nag-assign…,,,approved
assignRoleConfirmAssignment,Assign Role,Confirm Assignment,Kumpirmahi ang Pag-assign,,,approved
assignRoleCurrentAssignments,Assign Role,Current Assignments,Kasalukuyang mga Takdang Aralin,,,approved
assignRoleFailed,Assign Role,Assignment failed: {error},Nakapakyas ang pag-assign: {error},,,approved
assignRoleNoUsersFound,Assign Role,No users found.,Walay nakitang mga gumagamit.,,,approved
assignRoleRemoveConfirm,Assign Role,Remove this role assignment ({scope})? The user will immediately lose the permissions granted by this role.,Ikuha ang tahas nga pag-assign ({scope})? Ang tiggamit dayon mawagtang ang mga katungod nga gihatag sa niini nga tahas.,,,approved
assignRoleRemoveTitle,Assign Role,Remove Assignment?,Tangtangon ang Asaynment?,,,approved
assignRoleRemoveTooltip,Assign Role,Remove assignment,Tangtanga ang tahas,,,approved
assignRoleRevokeHint,Assign Role,Tap − to revoke an existing assignment.,I-tap ang − aron kuhaon ang kasamtangang tahas.,,,approved
assignRoleRoleChip,User Assignments,{role} · {scope},{role} · {scope},,,approved
assignRoleScopeChipBarangay,Assign Role — Role,Barangay,Barangay,,,approved
assignRoleScopeChipClass,Assign Role — Role,Class,Klase,,,approved
assignRoleScopeChipDepartment,Assign Role — Role,Department,Departamento,,,approved
assignRoleScopeChipDept,Assign Role — Role,Dept,Departamento,,,approved
assignRoleScopeChipGroup,Assign Role — Role,Group,Grupo,,,approved
assignRoleScopeChipOrg,Roles (shared),Org-wide,Tibuok organisaasyon,,,approved
assignRoleScopeChipTag,Assign Role — Role,Tag,Tag,,,approved
assignRoleScopeFieldBarangayId,Roles (shared),Barangay ID,ID sa Barangay,,,approved
assignRoleScopeFieldClassId,Roles (shared),Class ID,ID sa Klase,,,approved
assignRoleScopeFieldDepartmentId,Roles (shared),Department ID,ID sa Departamento,,,approved
assignRoleScopeFieldGroupId,Roles (shared),Group ID,ID sa Grupo,,,approved
assignRoleScopeFieldTag,Roles (shared),Tag,Tag,,,approved
assignRoleScopeHintBarangay,Roles (shared),Firestore barangay document ID,ID sa dokumento sa barangay sa Firestore,,,approved
assignRoleScopeHintClass,Roles (shared),Firestore class document ID,ID sa dokumento sa klase sa Firestore,,,approved
assignRoleScopeHintDepartment,Roles (shared),Firestore department document ID,ID sa dokumento sa departamento sa Firestore,,,approved
assignRoleScopeHintGroup,Roles (shared),Firestore group document ID,ID sa dokumento sa grupo sa Firestore,,,approved
assignRoleScopeHintTag,Roles (shared),e.g. guidance,panudlo,,,approved
assignRoleScopeOptionBarangay,Roles (shared),Specific barangay,Espesipikong barangay,,,approved
assignRoleScopeOptionClass,Roles (shared),Specific class / section,Espesipikong klase / seksyon,,,approved
assignRoleScopeOptionDepartment,Roles (shared),Specific department,Espesipikong departamento,,,approved
assignRoleScopeOptionGroup,Roles (shared),Specific group / club,Espesipikong grupo / klub,,,approved
assignRoleScopeOptionOrg,Roles (shared),Org-wide,Tibuok Org,,,approved
assignRoleScopeOptionTag,Roles (shared),Specific tag,Espesipikong tag,,,approved
assignRoleScopeSubtitle,Assign Role,Define how broadly this role applies for this user.,I-define kung unsa ka lapad ang pag-aplikar sa kini nga papel alang sa kini nga tiggamit.,,,approved
assignRoleScopeTitle,Assign Role,Role Scope,Sakop sa Papel,,,approved
assignRoleScopeType,Assign Role,Scope Type,Tipo sa Sakop,,,approved
assignRoleScopeValueBarangay,Roles (shared),Barangay: {id},Barangay: {id},,,approved
assignRoleScopeValueClass,Roles (shared),Class: {id},Klase: {id},,,approved
assignRoleScopeValueDepartment,Roles (shared),Department: {id},Departamento: {id},,,approved
assignRoleScopeValueGroup,Roles (shared),Group: {id},Grupo: {id},,,approved
assignRoleScopeValueTag,Roles (shared),Tag: {id},Tag: {id},,,approved
assignRoleSearchHint,Assign Role,Search by name or student ID,Pangitaa pinaagi sa ngalan o ID sa estudyante,,,approved
assignRoleSelectUser,Assign Role,Select User,Pili-a ang Gumagamit,,,approved
assignRoleSuccess,Assign Role,Role assigned successfully,Malampusong na-assign ang papel,,,approved
assignRoleTitle,Assign Role,Assign: {roleName},I-assign: {roleName},,,approved
authAcceptTermsCheckbox,Login,I accept the Terms & Privacy Policy,Akong gidawat ang mga Termino ug Patakaran sa Privacy,,,approved
authAcceptTermsSnackbar,Login,Please accept the Terms & Privacy Policy,Palihug dawata ang mga Termino ug Patakaran sa Privacy,,,approved
authConfirmPassword,Login,Confirm Password,Kumpirmaha Password,,,approved
authConfirmPasswordHint,Login,Re-enter your password,Ibalik ang imong password,,,approved
authContinueWithGoogle,Login,Continue with Google,Padayon gamit ang Google,,,approved
authEmailHint,Login,you@school.edu,ikaw@eskwelahan.edu,,,approved
authEmailOrStudentId,Login,Email or student ID,Email o student ID,,,approved
authEmailOrStudentIdHint,Login,you@school.edu or student ID,you@school.edu o student ID,,,approved
authForgotPassword,Login,Forgot Password?,Nakalimot ka sa Password?,,,approved
authFullName,Login,Full Name,Tibuok nga Ngalan,,,approved
authFullNameHint,Login,Enter your full name,Ibutang ang imong tibuok ngalan,,,approved
authGoogleSignInSoon,Login,Google sign-in coming soon!,Mag-antos sa pag-sign in sa Google sa dili madugay!,,,approved
authOrgFallbackName,Login,Connect,Sumpay,,,approved
authPasswordHintLogin,Login,Your password or student ID,Ang imong password o student ID,,,approved
authPasswordHintRegister,Login,At least 8 characters,Dapat adunay labing menos 8 ka karakter,,,approved
authSignInFailed,Login,Sign in failed. Please try again.,Nakapakyas ang pag-sign in. Palihug sulayi pag-usab.,,,approved
authTermsFooter,Login,"By continuing, you agree to our Terms and Privacy Policy.","Sa pagpadayon, mouyon ka sa among mga Termino ug Privacy Policy.",,,approved
capabilitiesBackedByLabel,Capabilities,Backed by (built-in action),Gisuportahan sa (naka-built-in nga aksyon),,,approved
capabilitiesBuiltinsIntro,Capabilities,These are the built-in capabilities available across all SpeakUp Connect organisations. They cannot be modified or removed — only custom capability aliases can be created on top of them.,Kini ang mga nakabuilt-in nga kakayahan nga magamit sa tanang organisasyon sa SpeakUp Connect. Dili kini mausab o matangtang — mahimo lamang maghimo og mga pasikad nga alias sa kakayahan ibabaw niini.,,,approved
capabilitiesCreateLabel,Capabilities,Create Custom Capability,Magmahimo og Custom nga Kakayahan,,,approved
capabilitiesCreating,Capabilities,Creating…,Naghimo…,,,approved
capabilitiesDeleteBody,Capabilities,"""{name}"" will be removed. Roles using it will lose this capability assignment.","Ang ""{name}"" kay tangtangon. Ang mga papel nga naggamit niini mawagtang ang kini nga katungdanan.",,,approved
capabilitiesDeleteTitle,Capabilities,Delete Capability?,I-delete ang Kakayahan?,,,approved
capabilitiesDeleteTooltip,Capabilities,Delete,I-delete,,,approved
capabilitiesDescriptionLabel,Capabilities,Description (optional),Paglaraw (opsyonal),,,approved
capabilitiesLoadFailed,Capabilities,"Could not load custom capabilities:
{error}",Dili ma-load ang mga custom nga kakayahan: {error},,,approved
capabilitiesNameHint,Capabilities,e.g. Review Guidance Referral,Halimbawa: Pagsusi sa Giya sa Referral,,,approved
capabilitiesNameLabel,Capabilities,Capability Name,Ngalan sa Kakayahan,,,approved
capabilitiesNameRequired,Capabilities,Name is required,Kinahanglan ang ngalan,,,approved
capabilitiesNewCustomTitle,Capabilities,New Custom Capability,Bag-ong Custom nga Kakayahan,,,approved
capabilitiesNoCustomDescription,Capabilities,Create a capability alias to give school-specific names to built-in actions.,Magtukod og alias sa kakayahan aron hatagan og ngalan nga espesipiko sa eskwelahan ang mga nakabuilt-in nga aksyon.,,,approved
capabilitiesNoCustomYet,Capabilities,No custom capabilities yet,Wala pay mga pasilidad nga na-customize.,,,approved
capabilitiesRestrictTagHelper,Capabilities,Leave empty to apply to all content with this action.,Biyaan nga walay sulod aron maaplikar sa tanan nga sulod nga adunay kini nga aksyon.,,,approved
capabilitiesRestrictTagHint,Capabilities,e.g. guidance,panudlo,,,approved
capabilitiesRestrictTagLabel,Capabilities,Restrict to tag (optional),Limitahi sa tag (opsyonal),,,approved
capabilitiesSelectBacking,Capabilities,Select a backing action,Pili-a ang aksyon nga suportado,,,approved
capabilitiesTabBuiltins,Capabilities,Built-ins,Mga Nakatakdang Kahon,,,approved
capabilitiesTabCustom,Capabilities,Custom,Pasadya,,,approved
capabilitiesTitle,Capabilities,Capabilities,Mga Kakayahan,,,approved
changePasswordConfirmHint,Change Password,Re-enter your new password,Ibalik ang imong bag-ong password,,,approved
changePasswordConfirmLabel,Change Password,Confirm new password,Kumpirmaha ang bag-ong password,,,approved
changePasswordCurrentHint,Change Password,Your current password,Ang imong kasamtangang password,,,approved
changePasswordCurrentLabel,Change Password,Current password,Karon nga password,,,approved
changePasswordFailed,Change Password,Could not change password. Please try again.,Dili mausab ang password. Palihug sulayi pag-usab.,,,approved
changePasswordIntro,Change Password,"Enter your current password, then choose a new password.","Ibutang ang imong kasamtangang password, unya pilia ang usa ka bag-ong password.",,,approved
changePasswordMustDiffer,Change Password,New password must be different from your current password.,Ang bag-ong password kinahanglan lahi sa imong kasamtangang password.,,,approved
changePasswordNewHint,Change Password,At least 8 characters,Dapat labing menos 8 ka karakter,,,approved
changePasswordNewLabel,Change Password,New password,Bag-ong password,,,approved
changePasswordSuccess,Change Password,Password updated successfully.,Nausab na ang password nga malampuson.,,,approved
changePasswordUpdateButton,Change Password,Update Password,I-update ang Password,,,approved
commonActionFailed,Enrolled Users / Reminder Approval Queue,Action failed: {error},Nihitabo ang aksyon: {error},,,approved
commonActive,Shared,Active,Aktibo,,,approved
commonAll,Shared,All,Tanan,,,approved
commonAllGrades,Enrolled Users / Roster Management,All grades,Tanang grado,,,approved
commonApprove,Group Membership Requests / Reminder Approval Queue,Approve,Aprobahan,,,approved
commonBack,Add Group Members / Submit Report,Back,Balik,,,approved
commonBlocked,Shared,Blocked,Nablock,,,approved
commonBrowse,My Groups,Browse,Susiha,,,approved
commonByAuthor,Reminder Approval Queue,By {name},Ni {name},,,approved
commonCancel,Shared,Cancel,Kanselahin,,,approved
commonClearAll,Add Group Members / Enrolled Users / Roster Management,Clear all,Ihawan tanan,,,approved
commonClose,Roles Management,Close,Isira,,,approved
commonConfirm,Admin Branding / Enrolled Users / Roster Management,Confirm,Kumpirmaha,,,approved
commonContinue,Enrolled Users / Roster Management,Continue,Padayon,,,approved
commonContinueButton,Shared,Continue,Padayon,,,approved
commonDecline,Group Membership Requests,Decline,Dili mo-uyon,,,approved
commonDeny,Group Membership Requests,Deny,Dili,,,approved
commonDescription,Submit Report,Description,Paglarawan,,,approved
commonDone,Roster Management,Done,Nahuman,,,approved
commonEdit,Shared,Edit,Usba,,,approved
commonEmail,Login,Email,Email,,,approved
commonErrorPrefix,Capabilities / User Assignments,Error: {error},Sayup: {error},,,approved
commonFailedToLoad,Shared,Failed to load: {error},Nakapakyas sa pag-load: {error},,,approved
commonFromGroup,Reminder Approval Queue,From {groupName},Gikan sa {groupName},,,approved
commonGrade,Enrolled Users / Roster Management,Grade,Baitang,,,approved
commonGradeLevel,Enrolled Users / Roster Management,Grade level,Antas sa grado,,,approved
commonIdLabel,Enrolled Users / Roster Management,ID,ID,,,approved
commonLeave,My Groups,Leave,Biyaan,,,approved
commonLogin,Login,Login,Sulod,,,approved
commonMessage,Compose Announcement,Message,Mensahe,,,approved
commonNameRequired,Role Editor,Name is required,Kinahanglan ang ngalan,,,approved
commonNext,Submit Report,Next,Sunod,,,approved
commonNoGradeAssigned,Enrolled Users / Roster Management,No grade assigned,Walay grado nga gihatag,,,approved
commonNoReasonProvided,Reminder Approval Queue,No reason provided,Walay gihatag nga rason,,,approved
commonNoteOptional,Admin Report Detail / Enrolled Users,Note (optional),Nota (opsyonal),,,approved
commonNotRegistered,Roster Management,Not registered,Wala magparehistro,,,approved
commonOr,Login,or,o,,,approved
commonPassword,Login,Password,Password,,,approved
commonPublish,Shared,Publish,I-publish,,,approved
commonReasonOptional,Enrolled Users / Reminder Approval Queue,Reason (optional),Rason (opsyonal),,,approved
commonRefresh,Admin Report Detail,Refresh,I-refresh,,,approved
commonRegistered,Roster Management,Registered,Narehistro,,,approved
commonReject,Reminder Approval Queue,Reject,Dili dawaton,,,approved
commonRemove,Assign Role / Capabilities / Group Members,Remove,Kuhaa,,,approved
commonRequired,Shared,Required,Kinahanglanon,,,approved
commonRole,Assign Role,Role,Papel,,,approved
commonSave,Shared,Save,I-save,,,approved
commonSaveFailed,Shared,Save failed: {error},Nakapakyas sa pag-save: {error},,,approved
commonSaving,Shared,Saving…,Nagasave…,,,approved
commonScheduled,Reminder Approval Queue,scheduled,naka-iskedyul,,,approved
commonSchoolWide,Shared,School-wide,Tibuok eskwelahan,,,approved
commonSearch,Browse Groups,Search,Pangita,,,approved
commonSection,Shared,Section,Seksyon,,,approved
commonSelectAll,Add Group Members / Enrolled Users / Roster Management,Select all,Pilia tanan,,,approved
commonSignedIn,Submit Report,Signed In,Nakasulod,,,approved
commonSignUp,Login,Sign Up,Mag-sign Up,,,approved
commonStatus,Admin Dashboard,Status,Kahimtang,,,approved
commonSubmit,Browse Groups / My Groups,Submit,Ipadala,,,approved
commonTitle,Compose Announcement / Submit Report,Title,Ulohan,,,approved
commonUnenrolled,Shared,Unenrolled,Walay rehistro,,,approved
commonUnknown,Shared,Unknown,Wala mahibal-i,,,approved
composeAnnouncementApprovalBanner,Compose Announcement,Your organization requires approval before announcements go live.,Ang imong organisasyon nagkinahanglan og pag-apruba sa dili pa mag-live ang mga anunsyo.,,,approved
composeAnnouncementGroupOptional,Compose Announcement,Group (optional),Grupo (opsyonal),,,approved
composeAnnouncementGroupRequired,Compose Announcement,You must lead a group before posting announcements.,Kinahanglan ka magdumala og grupo sa dili pa mag-post og mga anunsyo.,,,approved
composeAnnouncementImageLoadFailed,Compose Announcement,Could not load that image. Try another photo.,Dili ma-load ang maong hulagway. Sulayi ang laing litrato.,,,approved
composeAnnouncementIntro,Compose Announcement,School-wide announcements are visible to every member.,Ang mga anunsyo sa tibuok eskwelahan makita sa tanan nga miyembro.,,,approved
composeAnnouncementMessageHint,Compose Announcement,"Share recruitment info, news, or updates…","Ibahin ang impormasyon sa pag-recruit, balita, o mga update…",,,approved
composeAnnouncementMustLeadGroup,Compose Announcement,You can only post on behalf of groups you lead.,Makahimo ka lamang og post alang sa mga grupo nga imong gipangulohan.,,,approved
composeAnnouncementNoPermission,Compose Announcement,You do not have permission to post school-wide announcements.,Wala kay permiso sa pag-post og mga anunsyo sa tibuok eskwelahan.,,,approved
composeAnnouncementOnBehalfOf,Compose Announcement,On behalf of,Sa ngalan ni,,,approved
composeAnnouncementPinSubtitle,Compose Announcement,Pinned posts appear first for all members,Ang mga nakapin nga post magpakita una para sa tanan nga mga miyembro,,,approved
composeAnnouncementPinTitle,Compose Announcement,Pin to top of announcements,I-pin sa ibabaw sa mga anunsyo,,,approved
composeAnnouncementPublish,Compose Announcement,Publish,I-publish,,,approved
composeAnnouncementPublished,Compose Announcement,Announcement published.,Nakapagmantala og anunsyo.,,,approved
composeAnnouncementScheduled,Compose Announcement,Announcement scheduled.,Naka-iskedyul ang anunsyo.,,,approved
composeAnnouncementSendFailed,Compose Announcement,Failed to post: {error},Napakyas sa pag-post: {error},,,approved
composeAnnouncementSubmitted,Compose Announcement,Announcement submitted for approval.,Gipasa ang anunsyo alang sa pag-apruba.,,,approved
composeAnnouncementTitle,Compose Announcement,Post Announcement,Ibutang ang Anunsyo,,,approved
composeAnnouncementTitleHint,Compose Announcement,e.g. Join our club this semester,Pananglitan: Apil sa among club karong semestro,,,approved
composeAnnouncementValidationExpiration,Compose Announcement,Set a valid expiration date and time.,Mag-set ug balido nga petsa ug oras sa pag-expire.,,,approved
composeAnnouncementValidationMessageMin,Compose Announcement,Message must be at least 5 characters.,Ang mensahe kinahanglan nga labing menos 5 ka karakter.,,,approved
composeAnnouncementValidationResponse,Compose Announcement,Complete the optional response settings or turn them off.,Kumpletuhon ang mga opsyonal nga setting sa tubag o i-disable kini.,,,approved
composeAnnouncementValidationTitleMin,Compose Announcement,Title must be at least 3 characters.,Kinahanglan ang titulo nga labing menos 3 ka karakter.,,,approved
groupsActionFailed,Group Membership Requests,Action failed,Napalpak ang aksyon,,,approved
groupsAddMembers,Add Group Members / Group Members / My Groups,Add Members,Magdugang og mga Miyembro,,,approved
groupsAddMembersSearchHint,Add Group Members,"Name, email, or school ID","Ngalan, email, o ID sa eskwelahan",,,approved
groupsAddMembersSearchLabel,Add Group Members,Search members,Pangitaa ang mga miyembro,,,approved
groupsAddPosition,Groups — Group Position Roles Editor,Add position,Idugang ang posisyon,,,approved
groupsAllMembersAlreadyInGroup,Add Group Members,All approved members are already in this group.,Ang tanan nga gi-aprobahan nga mga miyembro anaa na sa kini nga grupo.,,,approved
groupsAllowJoinRequests,Create Group / Edit Group / Groups — Group Membership Policy Sheet,Allow join requests,Tugoti ang mga hangyo sa pag-apil,,,approved
groupsAllowJoinRequestsSubtitle,Create Group / Edit Group / Groups — Group Membership Policy Sheet,Let students request to join (off for elected groups like SSLG),Pasagdi ang mga estudyante nga mangayo og pag-apil (nawala para sa mga napiling grupo sama sa SSLG),,,approved
groupsApproveLeave,Group Membership Requests,Approve leave,Aprobahi ang pagbiya,,,approved
groupsAssignButton,Add Group Members,Assign,I-assign,,,approved
groupsAssignMembers,Add Group Members,"{count, plural, =1{Assign 1 member} other{Assign {count} members}}","{count, plural, =1{Mag-assign og 1 ka miyembro} other{Mag-assign og {count} ka mga miyembro}}",,,approved
groupsAssignMembersPartial,Add Group Members,"Assigned {added, plural, =1{1 member} other{{added} members}}; {skipped} could not be added","Ginatag ang {added, plural, =1{1 ka miyembro} other{{added} nga mga miyembro}}; {skipped} dili maapil",,,approved
groupsAssignPosition,Group Members,Assign position,Ihatag ang posisyon,,,approved
groupsAssignSearchHint,Add Group Members,Search and tap a member below,Pangitaa ug i-tap ang usa ka miyembro sa ubos,,,approved
groupsAssignSelectedHint,Add Group Members,{count} selected — choose role and assign,{count} napili — pilii ang papel ug i-assign,,,approved
groupsCancelLeaveRequest,My Groups,Cancel leave request,I-cancel ang hangyo sa pagbiya,,,approved
groupsCancelRequest,Browse Groups,Cancel Request,I-cancel ang Hangyo,,,approved
groupsClubPositionOptional,Add Group Members,Club position (optional),Posisyon sa klub (opsyonal),,,approved
groupsClubPositionsSaved,Edit Group Position Roles,Club positions saved,Na-save ang mga posisyon sa club,,,approved
groupsClubPositionsSectionSubtitle,Groups — Group Position Roles Editor,"Optional offices members can hold (e.g. President, Treasurer). You can assign these when adding or managing members.","Mga opsyonal nga katungdanan nga mahimong hawiran sa mga miyembro (sama sa Presidente, Ingat-yaman). Mahimo nimo kini i-assign sa dihang nagdugang o nagdumala sa mga miyembro.",,,approved
groupsClubPositionsSectionTitle,Groups — Group Position Roles Editor,Club positions,Mga Posisyon sa Klab,,,approved
groupsClubPositionsTitle,Edit Group Position Roles,Club Positions,Mga Posisyon sa Klab,,,approved
groupsCouldNotAddMembers,Add Group Members,Could not add members: {error},Dili ma-add ang mga miyembro: {error},,,approved
groupsCouldNotCancelRequest,Browse Groups / My Groups,Could not cancel request,Dili ma-cancel ang hangyo,,,approved
groupsCouldNotCreate,Create Group,Could not create group,Dili makabuhat og grupo,,,approved
groupsCouldNotLeave,My Groups,Could not leave,Dili makabiya,,,approved
groupsCouldNotRemoveMember,Group Members,Could not remove member,Dili maalis ang miyembro,,,approved
groupsCouldNotSavePositions,Edit Group Position Roles,Could not save positions,Dili ma-save ang mga posisyon,,,approved
groupsCouldNotSaveSettings,Edit Group,Could not save group settings,Dili masave ang mga setting sa grupo,,,approved
groupsCouldNotSubmitJoin,Browse Groups,Could not submit: {error},Dili makasumite: {error},,,approved
groupsCouldNotSubmitRequest,My Groups,Could not submit request,Dili makasumite og hangyo,,,approved
groupsCouldNotUpdatePosition,Group Members,Could not update position,Dili ma-update ang posisyon,,,approved
groupsCreated,Create Group,Created {name},Gihimo ang {name},,,approved
groupsCreateGroup,Create Group / Groups List,Create Group,Maghimo og Grupo,,,approved
groupsCreateGroupTitle,Create Group,Create Group,Paghimo og Grupo,,,approved
groupsDeclineJoinReasonLabel,Group Membership Requests,Reason (optional),Rason (opsyonal),,,approved
groupsDeclineJoinTitle,Group Membership Requests,Decline join request?,Dili ba moapil sa hangyo?,,,approved
groupsDefineClubPositions,Create Group / Edit Group,Define club positions,Ilaraw ang mga posisyon sa klub,,,approved
groupsDefineClubPositionsSubtitle,Create Group / Edit Group,Optional offices like President or Treasurer,Mga opsyonal nga katungdanan sama sa Presidente o Tesorero,,,approved
groupsDenyLeaveReasonLabel,Group Membership Requests,Reason (required),Rason (kinahanglan),,,approved
groupsDenyLeaveTitle,Group Membership Requests,Deny leave request,Dili tugotan ang hangyo sa pagbiya,,,approved
groupsDescriptionHint,Create Group / Edit Group,What is this group about?,Unsa man ang tumong sa kini nga grupo?,,,approved
groupsDescriptionLabel,Create Group / Edit Group,Description (optional),Paglaraw (opsyonal),,,approved
groupsEditGroup,Group Members / My Groups,Edit Group,Usba ang Grupo,,,approved
groupsEditGroupMembersHint,Group Members,"Change name, description, policies, and club positions","Usba ang ngalan, deskripsyon, mga palisiya, ug mga posisyon sa klub",,,approved
groupsEditGroupSettingsTooltip,Groups Edit,Edit group settings,Usba ang mga setting sa grupo,,,approved
